Вакансия;Ссылка;Компания;Зарплата;Станция метро
Middle QA Engineer / Тестировщик ПО;https://spb.hh.ru/vacancy/36857387?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Matryoshka Games ;Middle QA Engineer / Тестировщик ПО;Не указано
Тестировщик Middle;https://spb.hh.ru/vacancy/36891998?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Mygento eCommerce Solutions ;Тестировщик Middle;Чернышевская
QA Engineer (Python) / Тестировщик ПО;https://spb.hh.ru/vacancy/36806842?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Протей, НТЦ ;QA Engineer (Python) / Тестировщик ПО;Выборгская
QA Engineer / Тестировщик ПО;https://spb.hh.ru/vacancy/36884255?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; АйТи++ ;QA Engineer / Тестировщик ПО;Не указано
Тестировщик ПО/ QA- Engineer;https://spb.hh.ru/vacancy/36875161?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Комита, АО (Санкт-Петербург) ;Тестировщик ПО/ QA- Engineer;Новочеркасская
Тестировщик ПО;https://spb.hh.ru/vacancy/36880199?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Норникель ;Тестировщик ПО;Не указано
Младший инженер по качеству ПО / Junior QA Engineer;https://spb.hh.ru/vacancy/36780828?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Veeam Software ;Младший инженер по качеству ПО / Junior QA Engineer;Не указано
Старший тестировщик / QA Lead;https://spb.hh.ru/vacancy/36880979?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; НаПоправку.ру ;Старший тестировщик / QA Lead;Не указано
Специалист отдела контроля качества ( Senior/ middle/ junior QA-engineer);https://spb.hh.ru/vacancy/32350164?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Lenvendo ;Специалист отдела контроля качества ( Senior/ middle/ junior QA-engineer);Старая Деревня
QA / Тестировщик;https://spb.hh.ru/vacancy/36822275?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Atomic Protocol Systems OU ;QA / Тестировщик;Не указано
